D & B Used Cars|111 Old Benbrook Rd|817-555-5555
95859|2012|Toyota|RAV4|SUV|Silver|64042|18506.720000
56605|2003|Dodge|Durango|Coupe|Green|292245|5272.550000
15874|1995|Jeep|Renegade|Coupe|Silver|52709|20406.030000
85591|2018|Nissan|Altima|Sedan|Yellow|141531|27136.420000
39873|2013|Hyundai|Elantra|SUV|Black|99010|28074.790000
92346|1998|Subaru|Outback|Truck|Brown|28489|611.840000
82836|2020|Chevrolet|Malibu|Truck|Red|52985|22337.600000
62008|2012|Dodge|Ram|Truck|Green|216068|31477.840000
56850|2010|Jeep|Cherokee|SUV|Black|97254|12482.760000
57167|2002|Hyundai|Sonata|SUV|Red|253587|4064.760000
48300|2013|Mazda|CX-5|SUV|Brown|53962|37989.870000
63087|1999|Honda|Pilot|Sedan|Teal|105537|21335.820000
30327|2016|Dodge|Ram|Coupe|Teal|18628|32973.040000
82401|1993|Honda|Pilot|Truck|Silver|124519|11456.230000
74867|1998|Honda|Civic|Sedan|Gray|206637|8012.210000
98281|1991|Mazda|Mazda6|SUV|Brown|75525|34601.380000
58222|1993|Subaru|Forester|Coupe|Black|135723|34879.600000
47996|1998|Chevrolet|Impala|Coupe|Silver|139101|6915.940000
43257|1993|Jeep|Wrangler|SUV|Black|291803|12757.150000
29698|1991|Toyota|Corolla|Wagon|Blue|65528|9220.600000
37097|2015|Honda|Accord|Coupe|Black|47569|23156.820000
80811|2011|Chevrolet|Tahoe|Sedan|Black|215907|29149.290000
17890|1993|Chevrolet|Malibu|Sedan|Black|105784|17672.430000
22320|2004|Chevrolet|Silverado|Wagon|Gray|132507|26973.030000
11136|1998|Ford|Explorer|Coupe|Black|28303|14337.800000
12179|2010|Toyota|RAV4|SUV|Blue|275256|19993.610000
86886|2000|Jeep|Wrangler|Wagon|Blue|214245|7095.440000
79077|2015|Subaru|Outback|Truck|Black|214939|790.170000
25156|2006|Jeep|Wrangler|Truck|Gray|166082|38699.780000
37842|1997|Chevrolet|Tahoe|Sedan|Gray|75534|27511.700000
58995|2020|Chevrolet|Silverado|Truck|Silver|30935|29678.160000
28881|2001|Dodge|Charger|Coupe|Silver|177833|1231.720000
77430|2016|Nissan|Altima|Truck|Silver|207620|23889.410000
81355|1993|Nissan|Altima|Sedan|Brown|279729|20786.380000
55182|2009|Nissan|Frontier|Truck|Teal|71415|37015.440000
53514|1995|Dodge|Durango|Coupe|Blue|209227|37981.990000
91996|2023|Subaru|Outback|Wagon|Brown|37849|1700.380000
17978|2012|Dodge|Charger|Sedan|Red|277214|18131.000000
75802|1995|Dodge|Ram|Truck|Brown|128423|11617.480000
64761|1996|Mazda|Mazda3|Sedan|Silver|79073|38252.110000
62888|1992|Chevrolet|Tahoe|Truck|Blue|173867|27308.100000
35086|1996|Mazda|Mazda3|Sedan|Teal|177146|16316.310000
67880|2018|Nissan|Altima|Sedan|Silver|75522|36959.120000
93908|1996|Jeep|Compass|Wagon|Black|278820|29698.130000
54875|2004|Subaru|Impreza|Sedan|Silver|84862|38507.280000
11950|2002|Honda|Pilot|Coupe|Teal|287430|23966.520000
16314|2014|Chevrolet|Malibu|SUV|White|23286|31798.150000
95331|2021|Hyundai|Santa Fe|Coupe|Blue|177201|14740.820000
69525|2017|Honda|Accord|Truck|Teal|146471|35352.820000
29718|2000|Nissan|Sentra|Wagon|Blue|30674|13062.620000
34493|2006|Ford|Escape|SUV|Blue|298771|38042.190000
85582|1997|Hyundai|Sonata|Coupe|Blue|163787|27024.350000
70901|2003|Nissan|Altima|Wagon|Silver|110539|9053.840000
